Industry,Symbol,Sym,Company Name,Series,ISIN Code,
Information Technology,IKS,IKS.NS,Inventurus Knowledge Solutions Ltd.,EQ,INE115Q01022,500
Healthcare,IPCALAB,IPCALAB.NS,Ipca Laboratories Ltd.,EQ,INE571A01038,500
Healthcare,JBCHEPHARM,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,EQ,INE572A01036,500
Construction Materials,JKCEMENT,JKCEMENT.NS,J.K. Cement Ltd.,EQ,INE823G01014,500
Automobile and Auto Components,JBMA,JBMA.NS,JBM Auto Ltd.,EQ,INE927D01051,500
Automobile and Auto Components,JKTYRE,JKTYRE.NS,JK Tyre & Industries Ltd.,EQ,INE573A01042,500
Financial Services,JMFINANCIL,JMFINANCIL.NS,JM Financial Ltd.,EQ,INE780C01023,500
Power,JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,EQ,INE121E01018,100
Financial Services,JSWHL,JSWHL.NS,JSW Holdings Ltd.,BE,INE824G01012,500
Services,JSWINFRA,JSWINFRA.NS,JSW Infrastructure Ltd.,EQ,INE880J01026,500
Metals & Mining,JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,EQ,INE019A01038,50
Power,JPPOWER,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,EQ,INE351F01018,500
Financial Services,J&KBANK,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,EQ,INE168A01041,500
Capital Goods,JINDALSAW,JINDALSAW.NS,Jindal Saw Ltd.,EQ,INE324A01032,500
Metals & Mining,JSL,JSL.NS,Jindal Stainless Ltd.,EQ,INE220G01021,500
Metals & Mining,JINDALSTEL,JINDALSTEL.NS,Jindal Steel & Power Ltd.,EQ,INE749A01030,100
Financial Services,JIOFIN,JIOFIN.NS,Jio Financial Services Ltd.,EQ,INE758E01017,50
Consumer Services,JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,EQ,INE797F01020,500
Chemicals,JUBLINGREA,JUBLINGREA.NS,Jubilant Ingrevia Ltd.,EQ,INE0BY001018,500
Healthcare,JUBLPHARMA,JUBLPHARMA.NS,Jubilant Pharmova Ltd.,EQ,INE700A01033,500
Capital Goods,JWL,JWL.NS,Jupiter Wagons Ltd.,EQ,INE209L01016,500
Consumer Services,JUSTDIAL,JUSTDIAL.NS,Justdial Ltd.,EQ,INE599M01018,500
Fast Moving Consumer Goods,JYOTHYLAB,JYOTHYLAB.NS,Jyothy Labs Ltd.,EQ,INE668F01031,500
Capital Goods,JYOTICNC,JYOTICNC.NS,Jyoti CNC Automation Ltd.,EQ,INE980O01024,500
Textiles,KPRMILL,KPRMILL.NS,K.P.R. Mill Ltd.,EQ,INE930H01031,500
Capital Goods,KEI,KEI.NS,KEI Industries Ltd.,EQ,INE878B01027,500
Construction,KNRCON,KNRCON.NS,KNR Constructions Ltd.,EQ,INE634I01029,500
Information Technology,KPITTECH,KPITTECH.NS,KPIT Technologies Ltd.,EQ,INE04I401011,500
Consumer Durables,KAJARIACER,KAJARIACER.NS,Kajaria Ceramics Ltd.,EQ,INE217B01036,500
Construction,KPIL,KPIL.NS,Kalpataru Projects International Ltd.,EQ,INE220B01022,500
Consumer Durables,KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,EQ,INE303R01014,500
Consumer Durables,KANSAINER,KANSAINER.NS,Kansai Nerolac Paints Ltd.,EQ,INE531A01024,500
Financial Services,KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Ltd.,EQ,INE036D01028,500
Capital Goods,KAYNES,KAYNES.NS,Kaynes Technology India Ltd.,EQ,INE918Z01012,500
Construction,KEC,KEC.NS,Kec International Ltd.,EQ,INE389H01022,500
Financial Services,KFINTECH,KFINTECH.NS,Kfin Technologies Ltd.,EQ,INE138Y01010,500
Capital Goods,KIRLOSBROS,KIRLOSBROS.NS,Kirloskar Brothers Ltd.,EQ,INE732A01036,500
Capital Goods,KIRLOSENG,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,EQ,INE146L01010,500
Financial Services,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,EQ,INE237A01028,50
Healthcare,KIMS,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,EQ,INE967H01025,500
Financial Services,LTF,LTF.NS,L&T Finance Ltd.,EQ,INE498L01015,500
Information Technology,LTTS,LTTS.NS,L&T Technology Services Ltd.,EQ,INE010V01017,500
Financial Services,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,EQ,INE115A01026,500
Fast Moving Consumer Goods,LTFOODS,LTFOODS.NS,LT Foods Ltd.,EQ,INE818H01020,500
Information Technology,LTIM,LTIM.NS,LTIMindtree Ltd.,EQ,INE214T01019,100
Construction,LT,LT.NS,Larsen & Toubro Ltd.,EQ,INE018A01030,50
Information Technology,LATENTVIEW,LATENTVIEW.NS,Latent View Analytics Ltd.,EQ,INE0I7C01011,500
Healthcare,LAURUSLABS,LAURUSLABS.NS,Laurus Labs Ltd.,EQ,INE947Q01028,500
Consumer Services,LEMONTREE,LEMONTREE.NS,Lemon Tree Hotels Ltd.,EQ,INE970X01018,500
Financial Services,LICI,LICI.NS,Life Insurance Corporation of India,EQ,INE0J1Y01017,100
Chemicals,LINDEINDIA,LINDEINDIA.NS,Linde India Ltd.,EQ,INE473A01011,500
Metals & Mining,LLOYDSME,LLOYDSME.NS,Lloyds Metals And Energy Ltd.,EQ,INE281B01032,500
Healthcare,LUPIN,LUPIN.NS,Lupin Ltd.,EQ,INE326A01037,500
Services,MMTC,MMTC.NS,MMTC Ltd.,EQ,INE123F01029,500
Automobile and Auto Components,MRF,MRF.NS,MRF Ltd.,EQ,INE883A01011,500
Realty,LODHA,LODHA.NS,Macrotech Developers Ltd.,EQ,INE670K01029,100
Oil Gas & Consumable Fuels,MGL,MGL.NS,Mahanagar Gas Ltd.,EQ,INE002S01010,500
Capital Goods,MAHSEAMLES,MAHSEAMLES.NS,Maharashtra Seamless Ltd.,EQ,INE271B01025,500
Financial Services,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,EQ,INE774D01024,500
Automobile and Auto Components,M&M,M&M.NS,Mahindra & Mahindra Ltd.,EQ,INE101A01026,50
Financial Services,MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Ltd.,EQ,INE522D01027,500
Oil Gas & Consumable Fuels,MRPL,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,EQ,INE103A01014,500
Healthcare,MANKIND,MANKIND.NS,Mankind Pharma Ltd.,EQ,INE634S01028,500
Fast Moving Consumer Goods,MARICO,MARICO.NS,Marico Ltd.,EQ,INE196A01026,500
Automobile and Auto Components,MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,EQ,INE585B01010,50
Information Technology,MASTEK,MASTEK.NS,Mastek Ltd.,EQ,INE759A01021,500
Financial Services,MFSL,MFSL.NS,Max Financial Services Ltd.,EQ,INE180A01020,500
Healthcare,MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,EQ,INE027H01010,500
Capital Goods,MAZDOCK,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,EQ,INE249Z01020,500
Healthcare,METROPOLIS,METROPOLIS.NS,Metropolis Healthcare Ltd.,EQ,INE112L01020,500
Automobile and Auto Components,MINDACORP,MINDACORP.NS,Minda Corporation Ltd.,EQ,INE842C01021,500
Automobile and Auto Components,MSUMI,MSUMI.NS,Motherson Sumi Wiring India Ltd.,EQ,INE0FS801015,500
Financial Services,MOTILALOFS,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,EQ,INE338I01027,500
Information Technology,MPHASIS,MPHASIS.NS,MphasiS Ltd.,EQ,INE356A01018,500
Financial Services,MCX,MCX.NS,Multi Commodity Exchange of India Ltd.,EQ,INE745G01035,500
Financial Services,MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,EQ,INE414G01012,500
Healthcare,NATCOPHARM,NATCOPHARM.NS,NATCO Pharma Ltd.,EQ,INE987B01026,500
Construction,NBCC,NBCC.NS,NBCC (India) Ltd.,EQ,INE095N01031,500
Construction,NCC,NCC.NS,NCC Ltd.,EQ,INE868B01028,500
Power,NHPC,NHPC.NS,NHPC Ltd.,EQ,INE848E01016,500
Power,NLCINDIA,NLCINDIA.NS,NLC India Ltd.,EQ,INE589A01014,500
Metals & Mining,NMDC,NMDC.NS,NMDC Ltd.,EQ,INE584A01023,500
Metals & Mining,NSLNISP,NSLNISP.NS,NMDC Steel Ltd.,EQ,INE0NNS01018,500
Power,NTPCGREEN,NTPCGREEN.NS,NTPC Green Energy Ltd.,EQ,INE0ONG01011,500
Power,NTPC,NTPC.NS,NTPC Ltd.,EQ,INE733E01010,50
Healthcare,NH,NH.NS,Narayana Hrudayalaya Ltd.,EQ,INE410P01011,500
Metals & Mining,NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,EQ,INE139A01034,500
Power,NAVA,NAVA.NS,Nava Ltd.,EQ,INE725A01030,500
Chemicals,NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Ltd.,EQ,INE048G01026,500
Fast Moving Consumer Goods,NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,EQ,INE239A01024,50
Information Technology,NETWEB,NETWEB.NS,Netweb Technologies India Ltd.,EQ,INE0NT901020,500
Media Entertainment & Publication,NETWORK18,NETWORK18.NS,Network18 Media & Investments Ltd.,EQ,INE870H01013,500
Healthcare,NEULANDLAB,NEULANDLAB.NS,Neuland Laboratories Ltd.,EQ,INE794A01010,500
Information Technology,NEWGEN,NEWGEN.NS,Newgen Software Technologies Ltd.,EQ,INE619B01017,500
Financial Services,NAM-INDIA,NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,EQ,INE298J01013,500
Financial Services,NIVABUPA,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,EQ,INE995S01015,500
Financial Services,NUVAMA,NUVAMA.NS,Nuvama Wealth Management Ltd.,EQ,INE531F01015,500
Realty,OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,EQ,INE093I01010,500
Oil Gas & Consumable Fuels,ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,EQ,INE213A01029,50
Oil Gas & Consumable Fuels,OIL,OIL.NS,Oil India Ltd.,EQ,INE274J01014,500
Automobile and Auto Components,OLAELEC,OLAELEC.NS,Ola Electric Mobility Ltd.,EQ,INE0LXG01040,500
Automobile and Auto Components,OLECTRA,OLECTRA.NS,Olectra Greentech Ltd.,EQ,INE260D01016,500
Financial Services,PAYTM,PAYTM.NS,One 97 Communications Ltd.,EQ,INE982J01020,500
Information Technology,OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,EQ,INE881D01027,500
Financial Services,POLICYBZR,POLICYBZR.NS,PB Fintech Ltd.,EQ,INE417T01026,500
Chemicals,PCBL,PCBL.NS,PCBL Chemical Ltd.,EQ,INE602A01031,500
Consumer Durables,PGEL,PGEL.NS,PG Electroplast Ltd.,EQ,INE457L01029,500
Chemicals,PIIND,PIIND.NS,PI Industries Ltd.,EQ,INE603J01030,500
Financial Services,PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Ltd.,EQ,INE572E01012,500
Construction,PNCINFRA,PNCINFRA.NS,PNC Infratech Ltd.,EQ,INE195J01029,500
Capital Goods,PTCIL,PTCIL.NS,PTC Industries Ltd.,EQ,INE596F01018,500
Media Entertainment & Publication,PVRINOX,PVRINOX.NS,PVR INOX Ltd.,EQ,INE191H01014,500
Textiles,PAGEIND,PAGEIND.NS,Page Industries Ltd.,EQ,INE761H01022,500
Fast Moving Consumer Goods,PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,EQ,INE619A01035,500
Information Technology,PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,EQ,INE262H01021,500
Oil Gas & Consumable Fuels,PETRONET,PETRONET.NS,Petronet LNG Ltd.,EQ,INE347G01014,500
Healthcare,PFIZER,PFIZER.NS,Pfizer Ltd.,EQ,INE182A01018,500
Realty,PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,EQ,INE211B01039,500
Chemicals,PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,EQ,INE318A01026,100
Financial Services,PEL,PEL.NS,Piramal Enterprises Ltd.,EQ,INE140A01024,500
Healthcare,PPLPHARMA,PPLPHARMA.NS,Piramal Pharma Ltd.,EQ,INE0DK501011,500
Healthcare,POLYMED,POLYMED.NS,Poly Medicure Ltd.,EQ,INE205C01021,500
Capital Goods,POLYCAB,POLYCAB.NS,Polycab India Ltd.,EQ,INE455K01017,500
Financial Services,POONAWALLA,POONAWALLA.NS,Poonawalla Fincorp Ltd.,EQ,INE511C01022,500
Financial Services,PFC,PFC.NS,Power Finance Corporation Ltd.,EQ,INE134E01011,100
Power,POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,EQ,INE752E01010,50
Capital Goods,PRAJIND,PRAJIND.NS,Praj Industries Ltd.,EQ,INE074A01025,500
Capital Goods,PREMIERENE,PREMIERENE.NS,Premier Energies Ltd.,EQ,INE0BS701011,500
Realty,PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,EQ,INE811K01011,500
Financial Services,PNB,PNB.NS,Punjab National Bank,EQ,INE160A01022,100
Capital Goods,RRKABEL,RRKABEL.NS,R R Kabel Ltd.,EQ,INE777K01022,500
Financial Services,RBLBANK,RBLBANK.NS,RBL Bank Ltd.,EQ,INE976G01028,500
Financial Services,RECLTD,RECLTD.NS,REC Ltd.,EQ,INE020B01018,100
Capital Goods,RHIM,RHIM.NS,RHI MAGNESITA INDIA LTD.,EQ,INE743M01012,500
Construction,RITES,RITES.NS,RITES Ltd.,EQ,INE320J01015,500
Fast Moving Consumer Goods,RADICO,RADICO.NS,Radico Khaitan Ltd,EQ,INE944F01028,500
Construction,RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,EQ,INE415G01027,500
Telecommunication,RAILTEL,RAILTEL.NS,Railtel Corporation Of India Ltd.,EQ,INE0DD101019,500
Healthcare,RAINBOW,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,EQ,INE961O01016,500
Automobile and Auto Components,RKFORGE,RKFORGE.NS,Ramkrishna Forgings Ltd.,EQ,INE399G01023,500
Chemicals,RCF,RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,EQ,INE027A01015,500
Consumer Services,RTNINDIA,RTNINDIA.NS,RattanIndia Enterprises Ltd.,EQ,INE834M01019,500
Textiles,RAYMONDLSL,RAYMONDLSL.NS,Raymond Lifestyle Ltd.,EQ,INE02ID01020,500
Realty,RAYMOND,RAYMOND.NS,Raymond Ltd.,EQ,INE301A01014,500
Services,REDINGTON,REDINGTON.NS,Redington Ltd.,EQ,INE891D01026,500
Oil Gas & Consumable Fuels,RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,EQ,INE002A01018,50
Power,RPOWER,RPOWER.NS,Reliance Power Ltd.,EQ,INE614G01033,500
Telecommunication,ROUTE,ROUTE.NS,Route Mobile Ltd.,EQ,INE450U01017,500
Financial Services,SBFC,SBFC.NS,SBFC Finance Ltd.,EQ,INE423Y01016,500
Financial Services,SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,EQ,INE018E01016,500
Financial Services,SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,EQ,INE123W01016,50
Power,SJVN,SJVN.NS,SJVN Ltd.,EQ,INE002L01015,500
Capital Goods,SKFINDIA,SKFINDIA.NS,SKF India Ltd.,EQ,INE640A01023,500
Chemicals,SRF,SRF.NS,SRF Ltd.,EQ,INE647A01010,500
Information Technology,SAGILITY,SAGILITY.NS,Sagility India Ltd.,EQ,INE0W2G01015,500
Healthcare,SAILIFE,SAILIFE.NS,Sai Life Sciences Ltd.,EQ,INE570L01029,500
Financial Services,SAMMAANCAP,SAMMAANCAP.NS,Sammaan Capital Ltd.,EQ,INE148I01020,500
Automobile and Auto Components,MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Ltd.,EQ,INE775A01035,100
Consumer Services,SAPPHIRE,SAPPHIRE.NS,Sapphire Foods India Ltd.,EQ,INE806T01020,500
Metals & Mining,SARDAEN,SARDAEN.NS,Sarda Energy and Minerals Ltd.,EQ,INE385C01021,500
Media Entertainment & Publication,SAREGAMA,SAREGAMA.NS,Saregama India Ltd,EQ,INE979A01025,500
Automobile and Auto Components,SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Ltd.,EQ,INE513A01022,500
Capital Goods,SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,EQ,INE839M01018,500
Services,SCI,SCI.NS,Shipping Corporation of India Ltd.,EQ,INE109A01011,500
Construction Materials,SHREECEM,SHREECEM.NS,Shree Cement Ltd.,EQ,INE070A01015,100
Fast Moving Consumer Goods,RENUKA,RENUKA.NS,Shree Renuka Sugars Ltd.,EQ,INE087H01022,500
Financial Services,SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,EQ,INE721A01047,50
Capital Goods,SHYAMMETL,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,EQ,INE810G01011,500
Capital Goods,SIEMENS,SIEMENS.NS,Siemens Ltd.,EQ,INE003A01024,100
Realty,SIGNATURE,SIGNATURE.NS,Signatureglobal (India) Ltd.,EQ,INE903U01023,500
Realty,SOBHA,SOBHA.NS,Sobha Ltd.,EQ,INE671H01015,500
Chemicals,SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,EQ,INE343H01029,500
Automobile and Auto Components,SONACOMS,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,EQ,INE073K01018,500
Information Technology,SONATSOFTW,SONATSOFTW.NS,Sonata Software Ltd.,EQ,INE269A01021,500
Financial Services,STARHEALTH,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,EQ,INE575P01011,500
Financial Services,SBIN,SBIN.NS,State Bank of India,EQ,INE062A01020,50
Metals & Mining,SAIL,SAIL.NS,Steel Authority of India Ltd.,EQ,INE114A01011,500
Construction,SWSOLAR,SWSOLAR.NS,Sterling and Wilson Renewable Energy Ltd.,EQ,INE00M201021,500
Chemicals,SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Ltd.,EQ,INE258G01013,500
Healthcare,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,EQ,INE044A01036,50
Media Entertainment & Publication,SUNTV,SUNTV.NS,Sun TV Network Ltd.,EQ,INE424H01027,500
Financial Services,SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,EQ,INE660A01013,500
Automobile and Auto Components,SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners Ltd.,EQ,INE387A01021,500
Capital Goods,SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,EQ,INE195A01028,500
Healthcare,SUVENPHAR,SUVENPHAR.NS,Suven Pharmaceuticals Ltd.,EQ,INE03QK01018,500
Capital Goods,SUZLON,SUZLON.NS,Suzlon Energy Ltd.,EQ,INE040H01021,500
Chemicals,SWANENERGY,SWANENERGY.NS,Swan Energy Ltd.,EQ,INE665A01038,500
Consumer Services,SWIGGY,SWIGGY.NS,Swiggy Ltd.,EQ,INE00H001014,100
Healthcare,SYNGENE,SYNGENE.NS,Syngene International Ltd.,EQ,INE398R01022,500
Capital Goods,SYRMA,SYRMA.NS,Syrma SGS Technology Ltd.,EQ,INE0DYJ01015,500
Consumer Services,TBOTEK,TBOTEK.NS,TBO Tek Ltd.,EQ,INE673O01025,500
Automobile and Auto Components,TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,EQ,INE494B01023,100
Information Technology,TANLA,TANLA.NS,Tanla Platforms Ltd.,EQ,INE483C01032,500
Chemicals,TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,EQ,INE092A01019,500
Telecommunication,TATACOMM,TATACOMM.NS,Tata Communications Ltd.,EQ,INE151A01013,500
Information Technology,TCS,TCS.NS,Tata Consultancy Services Ltd.,EQ,INE467B01029,50
Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,EQ,INE192A01025,50
Information Technology,TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,EQ,INE670A01012,500
Financial Services,TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,EQ,INE672A01018,500
Automobile and Auto Components,TATAMOTORS,TATAMOTORS.NS,Tata Motors Ltd.,EQ,INE155A01022,50
Power,TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,EQ,INE245A01021,100
Metals & Mining,TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,EQ,INE081A01020,50
Information Technology,TATATECH,TATATECH.NS,Tata Technologies Ltd.,EQ,INE142M01025,500
Telecommunication,TTML,TTML.NS,Tata Teleservices (Maharashtra) Ltd.,EQ,INE517B01013,500
Information Technology,TECHM,TECHM.NS,Tech Mahindra Ltd.,EQ,INE669C01036,50
Construction,TECHNOE,TECHNOE.NS,Techno Electric & Engineering Company Ltd.,EQ,INE285K01026,500
Telecommunication,TEJASNET,TEJASNET.NS,Tejas Networks Ltd.,EQ,INE010J01012,500
Financial Services,NIACL,NIACL.NS,The New India Assurance Company Ltd.,EQ,INE470Y01017,500
Construction Materials,RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,EQ,INE331A01037,500
Capital Goods,THERMAX,THERMAX.NS,Thermax Ltd.,EQ,INE152A01029,500
Capital Goods,TIMKEN,TIMKEN.NS,Timken India Ltd.,EQ,INE325A01013,500
Capital Goods,TITAGARH,TITAGARH.NS,Titagarh Rail Systems Ltd.,EQ,INE615H01020,500
Consumer Durables,TITAN,TITAN.NS,Titan Company Ltd.,EQ,INE280A01028,50
Healthcare,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,EQ,INE685A01028,100
Power,TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,EQ,INE813H01021,500
Capital Goods,TARIL,TARIL.NS,Transformers And Rectifiers (India) Ltd.,EQ,INE763I01026,500
Consumer Services,TRENT,TRENT.NS,Trent Ltd.,EQ,INE849A01020,50
Textiles,TRIDENT,TRIDENT.NS,Trident Ltd.,EQ,INE064C01022,500
Fast Moving Consumer Goods,TRIVENI,TRIVENI.NS,Triveni Engineering & Industries Ltd.,EQ,INE256C01024,500
Capital Goods,TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,EQ,INE152M01016,500
Automobile and Auto Components,TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,EQ,INE974X01010,500
Financial Services,UCOBANK,UCOBANK.NS,UCO Bank,EQ,INE691A01018,500
Automobile and Auto Components,UNOMINDA,UNOMINDA.NS,UNO Minda Ltd.,EQ,INE405E01023,500
Chemicals,UPL,UPL.NS,UPL Ltd.,EQ,INE628A01036,500
Financial Services,UTIAMC,UTIAMC.NS,UTI Asset Management Company Ltd.,EQ,INE094J01016,500
Construction Materials,ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,EQ,INE481G01011,50
Financial Services,UNIONBANK,UNIONBANK.NS,Union Bank of India,EQ,INE692A01016,500
Fast Moving Consumer Goods,UBL,UBL.NS,United Breweries Ltd.,EQ,INE686F01025,500
Fast Moving Consumer Goods,UNITDSPR,UNITDSPR.NS,United Spirits Ltd.,EQ,INE854D01024,100
Capital Goods,USHAMART,USHAMART.NS,Usha Martin Ltd.,EQ,INE228A01035,500
Consumer Durables,VGUARD,VGUARD.NS,V-Guard Industries Ltd.,EQ,INE951I01027,500
Consumer Services,DBREALTY,DBREALTY.NS,Valor Estate Ltd.,EQ,INE879I01012,500
Textiles,VTL,VTL.NS,Vardhman Textiles Ltd.,EQ,INE825A01020,500
Fast Moving Consumer Goods,VBL,VBL.NS,Varun Beverages Ltd.,EQ,INE200M01039,100
Consumer Services,MANYAVAR,MANYAVAR.NS,Vedant Fashions Ltd.,EQ,INE825V01034,500
Metals & Mining,VEDL,VEDL.NS,Vedanta Ltd.,EQ,INE205A01025,100
Healthcare,VIJAYA,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,EQ,INE043W01024,500
Consumer Services,VMM,VMM.NS,Vishal Mega Mart Ltd.,EQ,INE01EA01019,500
Telecommunication,IDEA,IDEA.NS,Vodafone Idea Ltd.,EQ,INE669E01016,500
Consumer Durables,VOLTAS,VOLTAS.NS,Voltas Ltd.,EQ,INE226A01021,500
Capital Goods,WAAREEENER,WAAREEENER.NS,Waaree Energies Ltd.,EQ,INE377N01017,500
Capital Goods,WELCORP,WELCORP.NS,Welspun Corp Ltd.,EQ,INE191B01025,500
Textiles,WELSPUNLIV,WELSPUNLIV.NS,Welspun Living Ltd.,EQ,INE192B01031,500
Consumer Services,WESTLIFE,WESTLIFE.NS,Westlife Foodworld Ltd.,EQ,INE274F01020,500
Consumer Durables,WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,EQ,INE716A01013,500
Information Technology,WIPRO,WIPRO.NS,Wipro Ltd.,EQ,INE075A01022,50
Healthcare,WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,EQ,INE049B01025,500
Financial Services,YESBANK,YESBANK.NS,Yes Bank Ltd.,EQ,INE528G01035,500
Automobile and Auto Components,ZFCVINDIA,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,EQ,INE342J01019,500
Media Entertainment & Publication,ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,EQ,INE256A01028,500
Capital Goods,ZENTEC,ZENTEC.NS,Zen Technologies Ltd.,EQ,INE251B01027,500
Information Technology,ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,EQ,INE520A01027,500
Healthcare,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,EQ,INE010B01027,100
Services,ECLERX,ECLERX.NS,eClerx Services Ltd.,EQ,INE738I01010,500
